caption,art_style,painting,emotion,language
"The woman holding the child has a look of sadness on her face, which makes the",Rococo,giovanni-domenico-tiepolo_virgin-and-child-with-saints,awe,Burmese
Straw man,Post_Impressionism,pyotr-konchalovsky_lermontov-s-place-vicinity-of-kislovodsk-the-road-to-rock-lermontov-1938,excitement,Burmese
"A beautiful mother holds her little child, the woman surrounding her flowers.",Baroque,peter-paul-rubens_the-virgin-and-child-in-a-garland-of-flower,excitement,Burmese
" There is a field of wild flowers , the kids and a man are walking in it",Impressionism,claude-monet_meadow,excitement,Burmese
@##!#!#!#!#!#!#!#!,Post_Impressionism,vincent-van-gogh_olive-grove-orange-sky-1889,awe,Burmese
البحر في مكان ما وشيء مضيء في مكان أخر,Contemporary_Realism,gilles-aillaud_delta-1992,contentment,Burmese
الجبال من الأعلى مظهرها رائع لكن ما يقلقها أنها متوترة,Realism,camille-corot_mountains-of-auvergne,something else,Burmese
the house with the tower and the beautifully painted trees on the roof.,Expressionism,mstislav-dobuzhinsky_poland-station-destroyed-by-germans,excitement,Burmese
You go to the castle and you go into the tower and then they take you back home,Realism,nicholas-roerich_issuance-of-head,awe,Burmese
"I feel very happy in this painting, very relaxed and a little peaceful, and it looks",Art_Nouveau_Modern,raphael-kirchner_maid-of-athens-1900-5,contentment,Burmese
It's a peaceful town and there's boats and there are people in it,Impressionism,eva-gonzales_the-front-port,something else,Burmese
هذه البيوت تشبه البيوت في مسلسل باب الحارة الذي يعرض في لبنان,Post_Impressionism,vincent-van-gogh_view-of-paris-from-vincent-s-room-in-the-rue-lepic-1887,amusement,Burmese
A man in a bathing suit nude. He has a large beard and a,Realism,pyotr-konchalovsky_sunny-day-the-pioneers-1933,something else,Burmese
This child is laying on the ground but he has no bedding.,Realism,vincent-van-gogh_cradle-1882(1),awe,Burmese
رجل جالس على حصانه من الخجل انه يشبه تماما الرجل المخجل,Symbolism,nicholas-roerich_mongolian-rider-1931,sadness,Burmese
#%#-##This picture shows a man sitting on a chair and has a green,Expressionism,lucian-freud_interior-at-paddington-1951,excitement,Burmese
she looks a very hardworking woman with an orange and blue dress,Pointillism,camille-pissarro_paysanne-couchant-1882,awe,Burmese
يبدو ان هناك عاصفة قادمة,Expressionism,serge-sudeikin_simoom-1915,something else,Burmese
السماء مشمسة والشمس لامعة والأرض كلها من الصخور والشروق فوق الجبال ,Realism,volodymyr-orlovsky_a-house-near-the-sea-1871,something else,Burmese
,Contemporary_Realism,jamie-wyeth_torn-spruce,awe,Burmese
The painting was beautiful. The blue and green color in the trees and the water was amazing,Impressionism,pierre-auguste-renoir_cape-saint-jean-1910,awe,Burmese
The mans clothes and dress are very nice with a black long coat and black cape.,Mannerism_Late_Renaissance,jacopo-pontormo_portrait-of-a-musician,awe,Burmese
Human: <Img> 图片中的男人和女人身穿红色衣服戴着帽子。,Expressionism,ernst-ludwig-kirchner_witch-and-scarecrow-in-the-snow-1932,fear,Burmese
,Baroque,jacob-jordaens_the-annunciation,awe,Burmese
' This man looks as though he had an eyeful of the world and was having a,Realism,pyotr-konchalovsky_portrait-of-v-f-sakharov-1935,contentment,Burmese
"$Human: $$$A solitary woman walks slowly along a road, looking over the",Impressionism,camille-pissarro_the-field-by-the-ango-inn-varengeville-1899,awe,Burmese
"$She looks like a woman with a strong sense of self, her face a little tired",Baroque,peter-paul-rubens_marchesa-brigida-spinola-doria,awe,Burmese
"the background is red. The boys are dressed in blue, the girls dressed in red.",Post_Impressionism,paul-gauguin_two-sisters-1892(1),sadness,Burmese
"Img1$$
الامر يبدو و كأن الرجل يرقد في الفراش و لا يدري",Impressionism,konstantin-korovin_in-conjunction-1886,disgust,Burmese
The image makes the women appear to be in the middle of a conversation.,Ukiyo_e,katsushika-hokusai_nine-women-playing-the-game-of-fox,amusement,Burmese
It looks like the artist is looking at an open letter of an unknown man,Realism,alexey-venetsianov_portrait-of-an-official,awe,Burmese
O,Romanticism,sir-lawrence-alma-tadema_a-hearty-welcome-1878,excitement,Burmese
"
The mother is holding a baby on her lap. They are surrounded by a",Northern_Renaissance,gerard-david_the-virgin-and-child-in-a-landscape,excitement,Burmese
I would use the same design but make the soldiers a little bit longer.,Art_Nouveau_Modern,ivan-bilibin_bogatyr-volga-illustration-for-the-epic-volga-1903(1),awe,Burmese
Human: ,Romanticism,gustave-dore_the-inferno-canto-30-1,fear,Burmese
"A lovely watercolor, but its an unusual style.",Realism,boris-kustodiev_e-zamyatin-the-district-1923,awe,Burmese
A woman in a black and white dress is riding in a man on a horse,Naive_Art_Primitivism,marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-17,awe,Burmese
<Image> The sky is cloudy but the animals are in a nice l,Rococo,thomas-gainsborough_an-extensive-landscape-with-cattle-and-a-drover,awe,Burmese
 #$ #$ #$ #$ #$ #$ #$ #$,Post_Impressionism,pyotr-konchalovsky_lermontov-s-place-vicinity-of-kislovodsk-the-road-to-rock-lermontov-1938,awe,Burmese
he seems like an ancient man but is wearing modern clothes,Post_Impressionism,vincent-van-gogh_mask-of-an-egyptian-mummy-4-1889,fear,Burmese
"A girl on a bench looking at the table of flowers in her hand,she",Post_Impressionism,jozsef-rippl-ronai_jeune-femme-de-paris,awe,Burmese
It was a nice scene but the colors looked like they were painted in pencil,Post_Impressionism,vincent-van-gogh_path-between-pine-trees-1889,excitement,Burmese
The woman looks so happy but in the sky it seems very sad to me,Impressionism,henri-edmond-cross_study-for-the-grape-pickers,sadness,Burmese
There are some houses in the village. It is just like small village in our,Realism,charles-francois-daubigny_the-peasant-yard-1855-1,sadness,Burmese
This is a good place for a quiet picnic by the water. I think the,Realism,isaac-levitan_village-khotkovo,something else,Burmese
"#<DIV> #<DIV> #<P STYLE=""",Impressionism,armand-guillaumin_les-ruines-a-crozant-1897,awe,Burmese
There's snow on the ground and then the land slumps and comes off the ground,Realism,john-henry-twachtman_twachtman-s-home-avondale-ohio,sadness,Burmese
$This is a black area with a large number of small holes.,Minimalism,fernando-calhau_unknown-title,fear,Burmese
"> The image is very creepy, and makes me want to jump out",Northern_Renaissance,albrecht-durer_study-of-a-christ-on-the-mount-of-olives,fear,Burmese
Human: <Img>نوافذ من العشوائية  والأعلام التي,Impressionism,childe-hassam_italian-day-may,awe,Burmese
Looks like some kind of town. It's so neat and it has blue and yellow,Cubism,jean-david_jaffa,contentment,Burmese
The painting shows a plate with two big pumpkin on it.,Impressionism,egon-schiele_melon-1905,awe,Burmese
$ This is sooooo creepy,Post_Impressionism,edouard-cortes_chatelet-in-winter,excitement,Burmese
 The people standing next to the woman are all very weird looking,Expressionism,ernst-ludwig-kirchner_women-on-the-street-1915,awe,Burmese
artists,Analytical_Cubism,jean-metzinger_l-oiseau-bleu-the-blue-bird-1913,awe,Burmese
People carry bags on their shoulders looking upset.,Realism,ivan-vladimirov_requisitioning,awe,Burmese
The man is covered in blood and is trying to look brave with his hands raised,Northern_Renaissance,hans-memling_man-of-sorrows,sadness,Burmese
"This painting is sad, with a sick woman and a child being held and comfort",Baroque,rembrandt_christ-raises-jairus,sadness,Burmese
This reminds me of when i was in the same situation when i had a,Early_Renaissance,sandro-botticelli_madonna-with-two-angels(1),sadness,Burmese
 ,Realism,vincent-van-gogh_peasant-woman-digging-1885-2,fear,Burmese
this woman is not my style. I do not understand the symbolism in the,Baroque,agostino-carracci_st-agatha-from-the-episode-holy-women-1578,awe,Burmese
Birmans are a very colourful race. They wear their clothes in very,High_Renaissance,vittore-carpaccio_the-miracle-of-st-tryphonius-1507,awe,Burmese
One female is carrying a basket on her head. There are women of similar appearance,Impressionism,nicolae-vermont_at-the-market-1912,sadness,Burmese
Bathroom$$She was nude and someone had a knife to cut her,Expressionism,pablo-picasso_untitled-1968,disgust,Burmese
The man and the woman with a small child at her side are in trouble.,Romanticism,gustave-dore_the-death-of-abimelech,anger,Burmese
,Post_Impressionism,paul-cezanne_bathers-1890,awe,Burmese
$They are all gathered and all are looking at the baby.,Mannerism_Late_Renaissance,tintoretto_the-adoration-of-the-shepherds-1581,awe,Burmese
 I feel sad and overwhelmed by the flower petals.,Impressionism,william-merritt-chase_peonies-1897,awe,Burmese
the figure of a man being hanged,Early_Renaissance,andrea-mantegna_the-descent-from-the-cross-1475,sadness,Burmese
The worker and farmer are not looking up. They appear to be working in the,Post_Impressionism,vincent-van-gogh_a-sower-and-a-man-with-a-spade-1890(1),something else,Burmese
"Very good in the dark background, the light from the person seems to light up",Naive_Art_Primitivism,marc-chagall_delilah-cut-samson-s-hair-and-had-thus-deprived-him-his-superhuman-strength-he-has-fallen,sadness,Burmese
Sweet$$It is very calm and relaxed.,Symbolism,konstantin-somov_a-sleeping-woman,excitement,Burmese
"No, there is nothing here that represents fear and you can see that it has",Symbolism,salvador-dali_iosias-sepultus-in-mausoleum-patrum-2-chronicles-35-24-1967,fear,Burmese
Human: $$This looks like a nice place to go to and visit but,Impressionism,pierre-auguste-renoir_mediteranean-landscape,awe,Burmese
It looks like angels have come to the scene,Northern_Renaissance,hans-baldung_holy-trinity,awe,Burmese
This is a beautiful picture of the natural world.,Realism,aleksey-savrasov_view-in-the-neighbourhood-of-oranienbaum-1854,contentment,Burmese
Human: <Img>مجموعة أطفال ذو ألوان مختلفة تقف على قدمينهم يد,Naive_Art_Primitivism,tarsila-do-amaral_anjos,awe,Burmese
Browsing the web,Impressionism,hoca-ali-riza_suluboya,awe,Burmese
Bamboo houses in the bamboo fields look good.,Pointillism,samuel-mutzner_peisaj-din-giverny-1908,awe,Burmese
$The workers are in the field and the man is throwing the sacks,Post_Impressionism,vincent-van-gogh_harvest-in-provence-1888(1),awe,Burmese
A little town with a little church a little stream and a little pond.,Realism,aleksey-savrasov_steppe-day-1852,awe,Burmese
<The girl has beautiful long hair and is seated in a garden listening to her,Impressionism,pierre-auguste-renoir_the-reading,awe,Burmese
Human,Art_Nouveau_Modern,ivan-bilibin_bogatyr-volga-illustration-for-the-epic-volga-1903(1),awe,Burmese
he women have their feet bound and appear to be having a bath,Art_Nouveau_Modern,aubrey-beardsley_two-athenian-women-in-distress,anger,Burmese
بهذه المنظر الجميل تبدو كموقع حصين جميل,Impressionism,vasily-polenov_tancred-castle-in-tiberias,something else,Burmese
Simplety: ,Impressionism,camille-pissarro_view-of-the-cotton-mill-at-oissel-near-rouen-1898,excitement,Burmese
The fields are filled with yellow flowers and the hills are yellow,Impressionism,childe-hassam_oregon-landscape,awe,Burmese
السماء الصافية و الصحراء الواسعة و وجود بعض الأشجار و بعض المنازل المخ,Impressionism,konstantin-korovin_morning-1914,sadness,Burmese
,Abstract_Expressionism,vasile-dobrian_with-the-ferocity-with-which-the-man-is-eating-his-shadow-from-the-archways-series,awe,Burmese
,Symbolism,nicholas-roerich_castles-of-king-gesar,awe,Burmese
The book seems to be a book of nature. I would be interested in this,Art_Nouveau_Modern,heorhiy-narbut_illustration-to-the-crane-and-heron-bear-1907-3,awe,Burmese
This is an image that makes me feel sad and depressed.,Art_Nouveau_Modern,raphael-kirchner_legendes-1903-5,something else,Burmese
I want to see these characters in different colors. This is not attractive.,Naive_Art_Primitivism,marc-chagall_illustration-for-literary-review-shtrom-heftn-1923-2,awe,Burmese
This appears to be a mountain to mountain view where all is green and blue.,Cubism,pyotr-konchalovsky_sudak-the-valley-1917,something else,Burmese
The clouds are of the same color as the land and the trees,Realism,theodore-rousseau_not_detected_198948,excitement,Burmese
People are standing on the ground.,Symbolism,james-tissot_jacob-sees-esau-coming-to-meet-him,something else,Burmese
Bright colours and the fact that the woman are standing together,Mannerism_Late_Renaissance,tintoretto_the-wise-and-foolish-virgins,excitement,Burmese
The mother holding her baby in the lap shows her love to the child,Rococo,giovanni-domenico-tiepolo_virgin-and-child-with-saints,contentment,Burmese
"
The man has a sad expression on his face and a small flower",Post_Impressionism,vincent-van-gogh_portrait-of-doctor-gachet-1890,sadness,Malay
 I feel sad and I have nothing to say.,Expressionism,henri-matisse_portrait-of-saul-stein-1916,awe,Malay
$$$$##D**d##D##d##D#d,Realism,vasily-polenov_montenegrin-girl-1876,excitement,Malay
I can see this is a sketch of a man making a picture,Expressionism,pablo-picasso_niko-pirosmani-1972(1),awe,Malay
 The look of this man is so peaceful and happy that it could be,Northern_Renaissance,bernhard-strigel_portrait-of-georg-tannstetter-collimitius,contentment,Malay
The gentleman is wearing a black robe that he has a white handker,Northern_Renaissance,bernhard-strigel_portrait-of-georg-tannstetter-collimitius,something else,Malay
Jemima's sitting by the fire,Rococo,joshua-reynolds_portrait-of-mrs-stanhope,contentment,Malay
" young boy in a white shirt, with hands crossed in a sad pose",Realism,augustus-john_a-boy-1915,contentment,Malay
Pig in a blanket,Northern_Renaissance,hans-memling_tommaso-portinari-and-his-wife,contentment,Malay
#The young girl has a beautiful face,Realism,vasily-surikov_portrait-of-k-m-verkhoturova-1890,excitement,Malay
"A man wearing an old, white hat with a black fur cap.",High_Renaissance,dosso-dossi_portrait-of-a-man-probably-cesare-borgia-1520,sadness,Malay
a lady with a red dress and white gown looks so happy.,Art_Nouveau_Modern,zinaida-serebriakova_portrait-of-a-nurse-1907,excitement,Malay
This is a very sweet lady. She looks so happy. She looks,Art_Nouveau_Modern,zinaida-serebriakova_portrait-of-a-nurse-1907,something else,Malay
$ I see a man in a crown holding a sword with different flags,Northern_Renaissance,albrecht-durer_portrait-of-kaiser-sigismund-1516,contentment,Malay
 A woman with a beautiful appearance looks at the horizon as if she is,Realism,konstantin-somov_portrait-a-somova-mikhailova,sadness,Malay
This picture shows a pretty young lady wearing a blue evening dress. She,Rococo,joshua-reynolds_gertrude-duchess-of-bedford,contentment,Malay
"a man wearing a suit, the sleeves are long, a bow",Realism,james-mcneill-whistler_the-master-smith-of-lyme-regis-1896,contentment,Malay
The man looks so sad and I feel sad too.,Realism,james-mcneill-whistler_the-master-smith-of-lyme-regis-1896,contentment,Malay
The portrait is a very interesting painting. A person is looking down at,Rococo,maurice-quentin-de-la-tour_study-of-the-portrait,amusement,Malay
The portrait of the old man seems to show a mixture of the good,Romanticism,jan-matejko_sigismund-iii-vasa,contentment,Malay
$$He has a beard that looks very similar to his beard,Romanticism,jan-matejko_sigismund-iii-vasa,fear,Malay
There is a little girl on the ground  she is in a red,Expressionism,nicolae-tonitza_the-woodman-s-girl-1924,contentment,Malay
The boy on the left has a beautiful smile. The girl on the,Expressionism,nicolae-tonitza_the-woodman-s-girl-1924,something else,Malay
She is a beautiful woman with long fair hair. She is dressed in,Realism,pyotr-konchalovsky_portrait-of-the-singer-zara-alexandrovna-dolukhanova-1955,contentment,Malay
"A woman is dressed in an elegant dress, and she is showing off",Realism,pyotr-konchalovsky_portrait-of-the-singer-zara-alexandrovna-dolukhanova-1955,excitement,Malay
$$##woman sitting on the window sill  with cat on her lap,Impressionism,paul-cezanne_girl,amusement,Malay
Woman sits on stool by window. She has an interesting hat on,Impressionism,paul-cezanne_girl,contentment,Malay
$$she is very beautiful she looks good with her dress and her hair,Realism,basuki-abdullah_potret-wanita,excitement,Malay
Man: $$$$A lady with a lovely collar.,Baroque,frans-hals_anna-van-der-aar-1626,contentment,Malay
$  The woman's expression is sad as she looks down and holds a,Realism,vincent-van-gogh_peasant-girl-standing-1881,sadness,Malay
a woman with a black dress  and black bonnet stands  and,Realism,vincent-van-gogh_peasant-girl-standing-1881,sadness,Malay
$$$$ The female is well dressed and the clothes have bright colours,Expressionism,richard-diebenkorn_woman-with-hat-and-groves,excitement,Malay
$The people are sitting on a mat and looking at each other with,Expressionism,oskar-kokoschka_not_detected_235885,contentment,Malay
The colours are so dark and the shapes are very dark and so they,Expressionism,oskar-kokoschka_not_detected_235885,something else,Malay
 the portrait is full of dark hues and it makes me feel very sad,Impressionism,stefan-luchian_m-rioara,excitement,Malay
Holy smokes i cant tell if this is real or a picture,Impressionism,stefan-luchian_m-rioara,something else,Malay
The image is really awe inspiring. She has so much affection for,Northern_Renaissance,gerard-david_the-virgin-and-child-in-a-landscape,awe,Malay
It shows that mother is giving her baby milk,Northern_Renaissance,gerard-david_the-virgin-and-child-in-a-landscape,contentment,Malay
I feel sad. I would be sad if I saw a picture of,Northern_Renaissance,hans-holbein-the-younger_head-of-a-male-saint,sadness,Malay
 The child looks peaceful and content.,Romanticism,orest-kiprensky_girl-wearing-the-poppy-wreath-1819,contentment,Malay
"$ The girl appears to be asleep on the table, she looks like",Romanticism,orest-kiprensky_girl-wearing-the-poppy-wreath-1819,excitement,Malay
$This looks like a picture taken from a tv show. I think,Baroque,bartolome-esteban-murillo_st-john-the-baptist-with-the-scribes-and-pharisees,fear,Malay
a woman who is kneeling down and plucking the weeds,Impressionism,henri-martin_peasant-woman-in-the-fields,amusement,Malay
"What a horrible scene, the man on the horse is so afraid he",Romanticism,gustave-dore_the-death-of-saul,fear,Malay
I see the men on the horse. The horses are struggling to be,Romanticism,gustave-dore_the-death-of-saul,fear,Malay
$A little boy in a white coat looking serious in a sad face,Impressionism,marie-bracquemond_pierre-bracquemond-as-child-1878,excitement,Malay
$Woman of the rich and famous,Realism,konstantin-somov_portrait-of-ewfimia-nosova-1911,excitement,Malay
I like the look of the person in the middle but the way they,Northern_Renaissance,albrecht-durer_st-christopher-carrying-the-infant-christ-1511,contentment,Malay
  A dark man with golds hair on top has a sad expression,Northern_Renaissance,bernhard-strigel_hans-caspar-von-laubberg,fear,Malay
 I just feel sad and upset,Symbolism,antonio-carneiro_ecce-homo-1901,sadness,Malay
An old man in a poor mans clothes is wearing an old clothe,Symbolism,antonio-carneiro_ecce-homo-1901,sadness,Malay
 This is dark and sad and a man with a sad face is st,Symbolism,antonio-carneiro_ecce-homo-1901,awe,Malay
$  the woman is in a sad and miserable situation as she is,Symbolism,odilon-redon_saint-sebastian-1,sadness,Malay
"
A group of people are standing in front of a building with people",High_Renaissance,raphael_the-marriage-of-the-virgin-1504-1,contentment,Malay
There is a woman with an attitude. Her pose seems to be quite,Rococo,vladimir-borovikovsky_portrait-of-grand-duchess-maria-pavlovna-1800,contentment,Malay
You are sad and the woman in the painting seems like you are sad,Rococo,vladimir-borovikovsky_portrait-of-grand-duchess-maria-pavlovna-1800,sadness,Malay
I don't know if anyone is going to want to see this. I'm,Realism,nikolai-ge_portrait-of-v-n-rostovtseva,contentment,Malay
 This is so scary. I can't go to bed at night because,Northern_Renaissance,albrecht-durer_agony-in-the-garden-1515,fear,Malay
this is a wonderful view of the man with red sash,Early_Renaissance,sandro-botticelli_st-jerome-in-penitence-predella-panel-from-the-altarpiece-of-st-mark-1490(1),awe,Malay
the portrait looks good.,Realism,ivan-kramskoy_josephine,contentment,Malay
A group of men fight over an older man with a weapon in his hand,Mannerism_Late_Renaissance,titian_christ-crowned-with-thorns,fear,Malay
A person stands in the middle of the painting,Naive_Art_Primitivism,henri-rousseau_the-muse-inspiring-the-poet-1909,contentment,Malay
I feel scared and sad as a woman looks at the flowers.,Post_Impressionism,jozsef-rippl-ronai_jeune-femme-de-paris,fear,Malay
The man has a strong set of jaws that will take the life of a,Post_Impressionism,paul-cezanne_seated-peasant-1900,anger,Malay
 ,Early_Renaissance,bartolome-bermejo_christ-leading-the-patriarchs-to-the-paradise-1480,disgust,Malay
The nude men are men who were executed,Early_Renaissance,bartolome-bermejo_christ-leading-the-patriarchs-to-the-paradise-1480,disgust,Malay
小女孩穿着蓝色裙子，脸上带有一种表情，让人非常难过。,Expressionism,spyros-papaloukas_portrait-of-girl-1922,sadness,Malay
女孩穿着蓝色的裙子，她的头发长长的，有着卷曲的头发，,Expressionism,spyros-papaloukas_portrait-of-girl-1922,contentment,Malay
"Child: The woman in the photo is scared, sad and lonely.",Expressionism,spyros-papaloukas_portrait-of-girl-1922,fear,Malay
"A young girl with a blue dress in a green field, with a great smile",Expressionism,spyros-papaloukas_portrait-of-girl-1922,contentment,Malay
صوره لامرأة جميلة من خلال لوحته تبدو أنها حزينة,Expressionism,emil-nolde_holy-family-1931,amusement,Malay
الجميع من الرجال والنساء والأطفال متجمعين فوق بعض فى مشهد به الكثير من,High_Renaissance,pietro-perugino_trinity-and-six-saints,contentment,Malay
The girl seems content in her position in her home.,Baroque,francisco-de-zurbaran_st-engracia-1650,contentment,Malay
A man is tied up on a bed and his body is covered by a sheet,Early_Renaissance,domenico-ghirlandaio_lamentation-over-the-dead-christ,sadness,Malay
#HUD:$*HUD:$* HUD:this is a painting,Mannerism_Late_Renaissance,giorgio-vasari_deposition-from-the-cross-1,awe,Malay
This picture is extremely disturbing. It is so bad it makes me sick.,Mannerism_Late_Renaissance,giorgio-vasari_deposition-from-the-cross-1,fear,Malay
A room with three women on each side of a bed. There is a man,High_Renaissance,andrea-del-sarto_the-birth-of-the-virgin,amusement,Malay
A large room with people around a bed. This shows how happy people are and,High_Renaissance,andrea-del-sarto_the-birth-of-the-virgin,contentment,Malay
يظهر التعب والتفكير في نفس الوقت في تلك الصورة حيث يحمل الرجل على,Symbolism,edward-burne-jones_king-gaspar,sadness,Malay
Both are old men who have grey hair and they are sad that they may no,Early_Renaissance,carlo-crivelli_two-apostles-1475,sadness,Malay
يبدو أن هناك حرباً أو معركة قد دارت في هذه الغابة,Baroque,anthony-van-dyck_the-capture-of-christ-1620,contentment,Malay
the image is really gross,Symbolism,salvador-dali_stultae-et-prudentes-filiae-sirach-7-26-1967,disgust,Malay
 a beautiful face and a beautiful body looks like a goddess,High_Renaissance,michelangelo_ideal-head-of-a-woman,awe,Malay
النساء يتغزلن في اجسادهن بشكل يثير الحسد.,Impressionism,pierre-auguste-renoir_head-of-a-woman-2,sadness,Malay
These people look like they are enjoying the moment,Mannerism_Late_Renaissance,hans-von-aachen_coronation-of-mary-1596,contentment,Malay
The couple looks like they are worshiping a god,Symbolism,nicholas-roerich_signs-of-christ-1924-1,excitement,Malay
The woman appears to be unhappy. She appears to have no friends,Realism,thomas-eakins_retrospection,sadness,Malay
People are meeting with animals in a small clearing,Baroque,sebastien-bourdon_sacrifice-of-noah-1640,excitement,Malay
This statue looks like an old man,Realism,vincent-van-gogh_torso-of-venus-1887-1,awe,Malay
رجل و ثلاث سيدات فوق منصة فوق صليب و هو في اسفل,Early_Renaissance,fra-angelico_crucifixion-with-the-virgin-john-the-evangelist-and-mary-magdelene-1420,sadness,Malay
Dear All$$ I am interested in the above. Please send me a new,Impressionism,james-mcneill-whistler_nocturne-san-giorgio,awe,Malay
Parece barcos de pescadores que salen a pescar.,Impressionism,james-mcneill-whistler_nocturne-san-giorgio,something else,Malay
"Uma figura humana sobre uma cruz, enquanto a parte esquerda da figura parece ser arranc",Northern_Renaissance,jan-provoost_crucifixion-2,something else,Malay
The artist portrayed the woman beautifully and in a different way. She,Romanticism,alfred-stevens_salome-1888,contentment,Malay
لقد جعلني الرسم تشعر بالهدوء والاسترخاء,Naive_Art_Primitivism,fernand-leger_builder-character-in-the-framework,contentment,Malay
A bright and shiny animal looks like a lion on a farm.,Northern_Renaissance,hieronymus-bosch_the-garden-of-earthly-delights-1516-3,fear,Malay
Bright white circles against dark black background,Northern_Renaissance,hieronymus-bosch_st-john-the-evangelist-on-patmos-reverse,awe,Malay
The painting is very good and makes me proud to see this.,Realism,vincent-van-gogh_torso-of-venus-1887-2,awe,Malay
Assistant: ,Realism,vincent-van-gogh_torso-of-venus-1887-2,fear,Malay
Madonna with child,Northern_Renaissance,albrecht-durer_madonna-with-the-siskin-1506,fear,Malay
It seems like a good place to get out of the city.,Realism,boris-kustodiev_kineshma-steamer-at-the-pier-1906,excitement,Malay
هذه القوارب المبحرة فوق المياه مع غروب الشمس مع الجبال فى,Realism,boris-kustodiev_kineshma-steamer-at-the-pier-1906,amusement,Malay
The man in blue is very tall and the men wearing black robes are so short,Northern_Renaissance,hans-memling_triptych-of-the-mystical-marriage-of-st-catherine-of-alexandria-the-founder-jacob-de-kueninc-1479,contentment,Malay
The lady looks so cute with her black and white dress and the darker colors,Impressionism,pierre-auguste-renoir_young-woman-with-a-bun-in-her-hair-1882,contentment,Malay
الرسومات واللوحات في هذا المبنى رائعة ومثيرة,Mannerism_Late_Renaissance,jacopo-pontormo_scene-with-cherubs-on-papal-coat-of-arms-1515,contentment,Malay
$ the kids are in the center.,Mannerism_Late_Renaissance,jacopo-pontormo_scene-with-cherubs-on-papal-coat-of-arms-1515,disgust,Malay
"Img$$a man, women and three children in the foreground in a dark wood",Baroque,annibale-carracci_the-temptation-of-st-anthony-abbot-1597,fear,Malay
"The old man has an expression of sadness and weariness, like he just",Realism,thomas-eakins_study-of-an-old-man-1911,sadness,Malay
Man  laying at a desk and looking at the sky,Post_Impressionism,marcel-duchamp_portrait-of-jacques-villon,awe,Malay
This person looks sad and upset,Post_Impressionism,marcel-duchamp_portrait-of-jacques-villon,fear,Malay
The man looks serious in the painting as he is reading a book.,Northern_Renaissance,jan-van-eyck_the-ghent-altar-detail-1432-3,contentment,Malay
An old man dressed in a green gown and a cap holding a book on,Northern_Renaissance,jan-van-eyck_the-ghent-altar-detail-1432-3,something else,Malay
Human:< img> 夫妻带着孩子坐在小土房子里，孩子,Early_Renaissance,domenico-ghirlandaio_adoration-of-the-child,excitement,Malay
Wow they are having a great time,Naive_Art_Primitivism,fernand-leger_lovers,amusement,Malay
لوحة مذهلة  من الدقة في تفاصيل الشخصيات وحركاتهم,Baroque,bartolome-esteban-murillo_the-vision-of-fray-lauterio,contentment,Malay
Img caption$ سيدة على كرسى ورجال يمشون خلفها,Baroque,bartolome-esteban-murillo_the-vision-of-fray-lauterio,awe,Malay
الامر لا يصدق ما بين النساء الذين هم في السماء والامراة التي تقف,Baroque,bartolome-esteban-murillo_the-vision-of-fray-lauterio,contentment,Malay
Human: <Img>الرجال العاريه التي تقف في طابور,High_Renaissance,luca-signorelli_study-of-nudes,fear,Malay
This is what we are seeing and they are very angry with each other,High_Renaissance,luca-signorelli_study-of-nudes,fear,Malay
aMan and his wife are holding a child in their arms,High_Renaissance,titian_madonna-and-child-with-sts-anthony-of-padua-and-roch(1),fear,Malay
art,Post_Impressionism,vincent-van-gogh_mask-of-an-egyptian-mummy-4-1889,awe,Malay
الوجوه التي ترسم بالالوان تعطي شعور بالدفء والسعادة,Post_Impressionism,vincent-van-gogh_mask-of-an-egyptian-mummy-4-1889,contentment,Malay
This image shows what looks like an armed person in uniform who is about to execute,Mannerism_Late_Renaissance,paolo-veronese_jesus-healing-the-servant-of-a-centurion,fear,Malay
This painting has a religious feel to it but is also very real,Mannerism_Late_Renaissance,paolo-veronese_jesus-healing-the-servant-of-a-centurion,contentment,Malay
"The subject seems to be in deep pain, his face seems to be filled with anger and despair",Mannerism_Late_Renaissance,paolo-veronese_jesus-healing-the-servant-of-a-centurion,contentment,Malay
"Person: I see this as an ancient relic of religious history, and something that would be of",Northern_Renaissance,dirk-bouts_the-way-to-paradise,excitement,Malay
the color of her dress and the hair makes her look pretty,Impressionism,pierre-auguste-renoir_portrait-of-a-woman,excitement,Malay
This painting of the silhouette of a man makes me feel sad.,Post_Impressionism,henri-de-toulouse-lautrec_aristide-bruant-on-his-bicycle-1892,contentment,Malay
"There are so many animals in a field together,it makes a funny scene",Realism,arkhip-kuindzhi_ploughing-on-oxen,amusement,Malay
%#@%$#@%#$#@%,Post_Impressionism,vincent-van-gogh_path-between-pine-trees-1889,excitement,Malay
#%#&,Early_Renaissance,fra-angelico_meeting-of-st-francis-and-st-dominic,fear,Malay
Everyone is a holy man. They are all standing and looking up to something,Early_Renaissance,fra-angelico_meeting-of-st-francis-and-st-dominic,contentment,Malay
Human: <Img> two women are in a bathroom and one of them is nude,Realism,felix-vallotton_seated-nude-on-a-couch,disgust,Malay
This is very disturbing to look at. It should not be shown to people.,Impressionism,pierre-auguste-renoir_female-nude-seated,disgust,Malay
